SYMBOL,change_07022026,change_07022026_x,change_07022026_y,change_10022026,change_07022026_x.1,change_07022026_y.2,change_09022026_x,change_07022026_y.1,change_27012026_x,change_27012026_y
AEQUS,0.29074101684808024,0.2907410168480802,0.2907410168480802,0.2907410168480802,0.2907410168480802,0.2907410168480802,0.2907410168480802,0.2907410168480802,0.2907410168480802,0.2907410168480802
AEROENTER,-7.453848833159181,-7.453848833159181,-7.453848833159181,-7.453848833159181,-7.453848833159181,-7.453848833159181,-7.453848833159181,-7.453848833159181,-7.453848833159181,-7.453848833159181
AEROFLEX,-4.117860161816202,-4.117860161816202,-4.117860161816202,-4.117860161816202,-4.117860161816202,-4.117860161816202,-4.117860161816202,-4.117860161816202,-4.117860161816202,-4.117860161816202
AERONEU,-1.1490991630018275,-1.1490991630018277,-1.1490991630018277,-1.1490991630018277,-1.1490991630018277,-1.1490991630018277,-1.1490991630018277,-1.1490991630018277,-1.1490991630018277,-1.1490991630018277
AETHER,-1.1231939551743504,-1.1231939551743504,-1.1231939551743504,-1.1231939551743504,-1.1231939551743504,-1.1231939551743504,-1.1231939551743504,-1.1231939551743504,-1.1231939551743504,-1.1231939551743504
AFCONS,-1.518877477216838,-1.518877477216838,-1.518877477216838,-1.518877477216838,-1.518877477216838,-1.518877477216838,-1.518877477216838,-1.518877477216838,-1.518877477216838,-1.518877477216838
AFFLE,-1.8391947309556442,-1.839194730955644,-1.839194730955644,-1.839194730955644,-1.839194730955644,-1.839194730955644,-1.839194730955644,-1.839194730955644,-1.839194730955644,-1.839194730955644
AFFORDABLE,-1.3616459720472738,-1.3616459720472738,-1.3616459720472738,-1.3616459720472738,-1.3616459720472738,-1.3616459720472738,-1.3616459720472738,-1.3616459720472738,-1.3616459720472738,-1.3616459720472738
AFIL,-2.9354207436399284,-2.9354207436399284,-2.9354207436399284,-2.9354207436399284,-2.9354207436399284,-2.9354207436399284,-2.9354207436399284,-2.9354207436399284,-2.9354207436399284,-2.9354207436399284
AFSL,0.0049751243781049285,0.0049751243781049,0.0049751243781049,0.0049751243781049,0.0049751243781049,0.0049751243781049,0.0049751243781049,0.0049751243781049,0.0049751243781049,0.0049751243781049
AGARIND,-3.4388685476344385,-3.4388685476344385,-3.4388685476344385,-3.4388685476344385,-3.4388685476344385,-3.4388685476344385,-3.4388685476344385,-3.4388685476344385,-3.4388685476344385,-3.4388685476344385
AGARWALEYE,-2.1022302849215713,-2.1022302849215717,-2.102230284921572,-2.102230284921572,-2.102230284921572,-2.102230284921572,-2.102230284921572,-2.102230284921572,-2.102230284921572,-2.102230284921572
AGI,-0.2872911468964961,-0.2872911468964961,-0.2872911468964961,-0.2872911468964961,-0.2872911468964961,-0.2872911468964961,-0.2872911468964961,-0.2872911468964961,-0.2872911468964961,-0.2872911468964961
AGIIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGROPHOS,-2.5496511003757267,-2.5496511003757267,-2.5496511003757267,-2.5496511003757267,-2.5496511003757267,-2.5496511003757267,-2.5496511003757267,-2.5496511003757267,-2.5496511003757267,-2.5496511003757267
AHCL,-1.6515468713654304,-1.6515468713654304,-1.6515468713654304,-1.6515468713654304,-1.6515468713654304,-1.6515468713654304,-1.6515468713654304,-1.6515468713654304,-1.6515468713654304,-1.6515468713654304
AHLADA,-0.5485893416927923,-0.5485893416927923,-0.5485893416927923,-0.5485893416927923,-0.5485893416927923,-0.5485893416927923,-0.5485893416927923,-0.5485893416927923,-0.5485893416927923,-0.5485893416927923
AHLEAST,1.0054429996976206,1.0054429996976206,1.0054429996976206,1.0054429996976206,1.0054429996976206,1.0054429996976206,1.0054429996976206,1.0054429996976206,1.0054429996976206,1.0054429996976206
AHLUCONT,-4.996284227976897,-4.996284227976897,-4.996284227976897,-4.996284227976897,-4.996284227976897,-4.996284227976897,-4.996284227976897,-4.996284227976897,-4.996284227976897,-4.996284227976897
